source,target,weight
Harvard University,University of Pennsylvania,30
MIT,University of Pennsylvania,27
MIT,Harvard University,25
Stanford University,University of Pennsylvania,23
Stanford University,MIT,22
Stanford University,Harvard University,21
Stanford University,Northwestern University,21
Stanford University,New York University,20
Boston University,Bentley University,19
MIT,Northwestern University,19
University of Chicago,University of Pennsylvania,19
Stanford University,UC Berkeley,18
MIT,University of Chicago,18
Harvard University,University of Chicago,17
MIT,Boston University,17
Stanford University,UCLA,17
Stanford University,Columbia University,17
Harvard University,New York University,15
MIT,Columbia University,15
UCLA,University of Southern California,14
Columbia University,CUNY Baruch College,14
New York University,CUNY Baruch College,14
Stanford University,University of Washington,13
Harvard University,Columbia University,13
Harvard University,Boston University,13
Northwestern University,University of Michigan,12
Stanford University,University of Southern California,12
New York University,Fordham University,12
University of Pennsylvania,New York University,12
University of Chicago,UCLA,12
"University of Illinois, Urbana Champaign",Arizona State University,12
University of Pennsylvania,Temple University,12
Harvard University,MIT,12
Columbia University,New York University,12
Harvard University,Bentley University,11
Harvard University,Babson College,11
University of Pennsylvania,"University of North Carolina, Chapel Hill",11
University of Pennsylvania,University of Michigan,11
MIT,Yale University,11
MIT,University of Southern California,11
University of Chicago,New York University,11
New York University,Hofstra University,11
University of Chicago,MIT,11
Stanford University,University of Michigan,10
Stanford University,Duke University,10
"University of Illinois, Urbana Champaign",University of Notre Dame,10
University of Southern California,Pepperdine University,10
MIT,New York University,10
New York University,Rutgers University,10
New York University,Pace University,10
UC Berkeley,University of Pennsylvania,10
MIT,UC Berkeley,10
MIT,Stanford University,10
UC Berkeley,Santa Clara University,10
Stanford University,"University of North Carolina, Chapel Hill",10
UC Berkeley,UCLA,10
Northwestern University,New York University,10
Harvard University,Stanford University,9
Harvard University,University of Southern California,9
Indiana University,Bentley University,9
Harvard University,Yale University,9
Columbia University,Pace University,9
CUNY Baruch College,Fordham University,9
"University of Illinois, Urbana Champaign",DePaul University,9
CUNY Baruch College,Hofstra University,9
"University of North Carolina, Chapel Hill",Wake Forest University,9
Harvard University,Northwestern University,9
University of Chicago,Duke University,9
Rutgers University,Pace University,9
Stanford University,"University of Texas, Austin",9
Michigan State University,Arizona State University,9
"University of Texas, Austin",University of Houston,9
"University of Texas, Austin","University of Texas, Dallas",9
University of Chicago,Ohio State University,8
CUNY Baruch College,Pace University,8
Harvard University,UC Berkeley,8
University of Michigan,Indiana University,8
Harvard University,Northeastern University,8
MIT,"University of Texas, Austin",8
Columbia University,Rutgers University,8
Northwestern University,University of Pennsylvania,8
University of Florida,Virginia Tech,8
Texas A&M,"University of Arkansas, Fayetteville",8
"University of North Carolina, Chapel Hill",North Carolina State University,8
Cornell University,University of Pennsylvania,8
UC Berkeley,Arizona State University,8
University of Pennsylvania,"University of Maryland, College Park",8
University of Washington,Brigham Young University,8
University of Pennsylvania,"University of Minnesota, Minneapolis",8
University of Pennsylvania,Drexel University,8
University of Pennsylvania,Northwestern University,8
"University of Minnesota, Minneapolis",Michigan State University,8
Texas A&M,Baylor University,8
Columbia University,University of Pennsylvania,8
University of Michigan,University of Pennsylvania,8
Northwestern University,DePaul University,8
Carnegie Mellon University,"University of Texas, Austin",8
Harvard University,UCLA,8
Indiana University,University of Cincinnati,8
University of Cincinnati,"Miami University, Ohio",8
MIT,"University of Maryland, College Park",8
MIT,UCLA,8
Northwestern University,Rutgers University,7
Yale University,University of Chicago,7
MIT,Boston College,7
University of Chicago,University of Southern California,7
Northwestern University,Harvard University,7
UC Berkeley,"University of Illinois, Urbana Champaign",7
New York University,Columbia University,7
Texas A&M,Oklahoma State University,7
Northwestern University,"University of Maryland, College Park",7
Columbia University,Fordham University,7
University of Rochester,Boston College,7
MIT,George Washington University,7
Harvard University,University of Michigan,7
"University of Wisconsin, Madison","University of Minnesota, Minneapolis",7
University of Michigan,"University of North Carolina, Chapel Hill",7
Indiana University,Brigham Young University,7
"University of Minnesota, Minneapolis",Ohio State University,7
Stanford University,Carnegie Mellon University,7
University of Michigan,"University of Illinois, Urbana Champaign",7
University of Chicago,Columbia University,7
Northwestern University,"University of Minnesota, Minneapolis",7
Harvard University,University of Virginia,7
Arizona State University,Texas A&M,7
University of Michigan,Cornell University,7
University of Chicago,Harvard University,7
University of Utah,Brigham Young University,7
Northwestern University,University of Southern California,7
UC Berkeley,Boston University,7
UC Berkeley,"University of Texas, Austin",7
Columbia University,Northwestern University,7
Purdue University,"State University of New York, Buffalo",7
"University of Illinois, Urbana Champaign","University of Minnesota, Minneapolis",7
University of Michigan,University of Oregon,7
George Washington University,Howard University,6
University of Pennsylvania,Harvard University,6
University of Pennsylvania,Columbia University,6
University of Pennsylvania,MIT,6
University of Pennsylvania,Emory University,6
Florida State University,Auburn University,6
MIT,Ohio State University,6
Duke University,Georgetown University,6
Arizona State University,North Carolina State University,6
University of Michigan,Boston University,6
University of Michigan,University of Southern California,6
University of Michigan,University of Pittsburgh,6
University of Michigan,"University of Maryland, College Park",6
University of Michigan,University of Iowa,6
University of Michigan,University of Houston,6
University of Michigan,University of Chicago,6
University of Michigan,Purdue University,6
University of Michigan,Michigan State University,6
University of Michigan,Harvard University,6
"University of Minnesota, Minneapolis","University of Texas, Austin",6
University of Chicago,University of Michigan,6
University of Iowa,Iowa State University,6
Columbia University,Harvard University,6
"University of Illinois, Urbana Champaign","University of Kansas, Lawrence",6
"University of Illinois, Urbana Champaign","Miami University, Ohio",6
"University of Illinois, Urbana Champaign",Florida State University,6
University of Georgia,Florida State University,6
University of Georgia,Auburn University,6
"University of Colorado, Boulder",University of Denver,6
Yale University,Stanford University,6
New York University,"University of Minnesota, Minneapolis",6
University of Michigan,"University of Texas, Austin",6
Northwestern University,University of Iowa,6
"University of Wisconsin, Madison",Bentley University,6
"University of Wisconsin, Madison",University of Kentucky,6
"University of Wisconsin, Madison",University of Iowa,6
Harvard University,Dartmouth College,6
Stanford University,"Washington University, St. Louis",6
MIT,Dartmouth College,6
Carnegie Mellon University,Purdue University,6
"University of Texas, Austin",Arizona State University,6
University of Rochester,Northwestern University,6
Ohio State University,Michigan State University,6
"University of Texas, Austin",Brigham Young University,6
MIT,Bentley University,6
"University of Tennessee, Knoxville",Auburn University,6
Stanford University,"University of Maryland, College Park",6
"University of Texas, Austin",University of South Carolina,6
Stanford University,University of Chicago,6
Stanford University,UC Irvine,6
Stanford University,UC Davis,6
Stanford University,Santa Clara University,6
Texas A&M,Auburn University,6
"University of Texas, Austin",Baylor University,6
University of Pennsylvania,"University of Wisconsin, Madison",6
"University of Texas, Austin",Southern Methodist University,6
UC Berkeley,Duke University,6
Pennsylvania State University,Drexel University,6
UC Berkeley,Columbia University,6
Carnegie Mellon University,University of Michigan,6
Pennsylvania State University,"University of Massachusetts, Amherst",6
Purdue University,Texas Christian University,6
UC Berkeley,Harvard University,6
UC Berkeley,Stanford University,6
MIT,Northeastern University,6
University of Pennsylvania,University of Pittsburgh,6
"University of Wisconsin, Madison",University of South Carolina,6
"University of Texas, Austin",Drexel University,6
UC Berkeley,New York University,6
Northwestern University,University of Notre Dame,5
Cornell University,Temple University,5
Ohio State University,"Miami University, Ohio",5
University of Michigan,Case Western Reserve University,5
Michigan State University,Ohio State University,5
Indiana University,Michigan State University,5
Ohio State University,Rutgers University,5
University of Michigan,George Washington University,5
Indiana University,"Miami University, Ohio",5
Purdue University,"University of Maryland, College Park",5
Cornell University,New York University,5
Rutgers University,Bentley University,5
Ohio State University,"University of Minnesota, Minneapolis",5
University of Michigan,Rice University,5
Stanford University,Rutgers University,5
Cornell University,Columbia University,5
Ohio State University,"University of Tennessee, Knoxville",5
Rutgers University,Fordham University,5
"University of Massachusetts, Amherst",Bentley University,5
New York University,"University of Texas, Austin",5
Cornell University,"University of Illinois, Urbana Champaign",5
Michigan State University,DePaul University,5
UC Berkeley,"Washington University, St. Louis",5
Purdue University,Michigan State University,5
UCLA,Stanford University,5
UC Berkeley,Emory University,5
UC Berkeley,Brigham Young University,5
New York University,University of Florida,5
Texas A&M,"University of Alabama, Tuscaloosa",5
University of Chicago,Northwestern University,5
Texas A&M,Indiana University,5
Georgia Tech,University of Virginia,5
University of Chicago,University of Miami,5
Northwestern University,Duke University,5
University of Chicago,Vanderbilt University,5
University of Chicago,Yale University,5
"University of Colorado, Boulder",Virginia Tech,5
Duke University,"University of Texas, Austin",5
University of Michigan,University of Virginia,5
University of Georgia,"University of Tennessee, Knoxville",5
"University of Illinois, Urbana Champaign",Bentley University,5
MIT,University of Washington,5
Stanford University,"University of Minnesota, Minneapolis",5
UC Berkeley,University of Southern California,5
"University of Illinois, Urbana Champaign",Saint Louis University,5
Harvard University,Temple University,5
"University of Illinois, Urbana Champaign",University of Georgia,5
Harvard University,"University of Maryland, College Park",5
Northwestern University,"University of North Carolina, Chapel Hill",5
Purdue University,Arizona State University,5
University of Florida,University of Kentucky,5
