source,target,weight
MIT,Carnegie Mellon University,17
UC Berkeley,Carnegie Mellon University,15
University of Toronto,York University,15
Stanford University,MIT,14
University of Toronto,University of Waterloo,14
UC Berkeley,MIT,12
Stanford University,Carnegie Mellon University,11
Carnegie Mellon University,Georgia Tech,10
MIT,Georgia Tech,10
Stanford University,UC Berkeley,9
UC Berkeley,UC San Diego,9
MIT,Northeastern University,8
MIT,UC Berkeley,8
MIT,Stanford University,8
MIT,Cornell University,8
MIT,Brown University,8
MIT,UC San Diego,8
Stanford University,University of British Columbia,8
University of Toronto,University of Alberta,8
MIT,University of Michigan,8
UC Berkeley,Stanford University,8
MIT,University of Washington,7
Stanford University,Princeton University,7
MIT,UCLA,7
Stanford University,Cornell University,7
Stanford University,UC San Diego,7
UC Berkeley,"University of Wisconsin, Madison",7
UC Berkeley,University of Washington,7
MIT,"University of Texas, Austin",7
MIT,"University of Massachusetts, Amherst",6
Carnegie Mellon University,University of Washington,6
Northwestern University,DePaul University,6
University of Waterloo,University of Alberta,6
Carnegie Mellon University,University of Southern California,6
Carnegie Mellon University,"University of Wisconsin, Madison",6
Stanford University,"University of Illinois, Urbana Champaign",6
University of Toronto,Simon Fraser University,6
University of British Columbia,University of Saskatchewan,6
"University of Texas, Austin","University of Massachusetts, Amherst",6
University of Toronto,Queens University,6
University of Washington,UC San Diego,6
MIT,Northwestern University,6
MIT,Boston University,6
"University of Illinois, Urbana Champaign",University of Michigan,6
UC Berkeley,Georgia Tech,6
Stanford University,UC Santa Cruz,6
"University of Illinois, Urbana Champaign",University of Florida,6
Carnegie Mellon University,Stanford University,5
University of Pennsylvania,Columbia University,5
Cornell University,University of Chicago,5
University of Toronto,University of Ottawa,5
University of Toronto,University of British Columbia,5
UC Berkeley,University of Waterloo,5
Carnegie Mellon University,UC Berkeley,5
Carnegie Mellon University,University of Michigan,5
"University of Illinois, Urbana Champaign","University of Missouri, Columbia",5
UC Berkeley,University of Michigan,5
"University of Illinois, Urbana Champaign",UCLA,5
UC Berkeley,Cornell University,5
UC Berkeley,UC Irvine,5
Stanford University,New York University,5
Carnegie Mellon University,University of Toronto,5
"University of Illinois, Urbana Champaign",Texas A&M,5
UC Berkeley,UC Davis,5
University of Washington,University of British Columbia,5
MIT,Indiana University,5
"University of Wisconsin, Madison","University of Illinois, Urbana Champaign",5
University of British Columbia,University of Calgary,5
Stanford University,Columbia University,5
University of Toronto,McMaster University,5
MIT,University of Chicago,5
Stanford University,University of Washington,5
MIT,Yale University,5
UC Berkeley,"State University of New York, Stony Brook",4
Cornell University,"University of Maryland, College Park",4
University of Chicago,DePaul University,4
Yale University,Carnegie Mellon University,4
University of Waterloo,Queens University,4
Carleton University,Dalhousie University,4
University of Michigan,Portland State University,4
University of Michigan,"University of Illinois, Urbana Champaign",4
"University of Massachusetts, Amherst",Colorado State University,4
Texas A&M,Auburn University,4
University of Waterloo,Dalhousie University,4
MIT,Columbia University,4
MIT,UC Irvine,4
UC Berkeley,UCLA,4
MIT,Toyota Technological Institute at Chicago,4
Princeton University,Lehigh University,4
"University of Illinois, Urbana Champaign",UC Irvine,4
Stanford University,UCLA,4
MIT,Naval Postgraduate School,4
University of Washington,Georgia Tech,4
University of Michigan,Georgia Tech,4
University of Washington,"University of Wisconsin, Madison",4
Princeton University,University of Michigan,4
Carnegie Mellon University,McGill University,4
Cornell University,"University of Texas, Austin",4
Ohio State University,Michigan State University,4
University of Pennsylvania,Johns Hopkins University,4
UC Berkeley,University of British Columbia,4
MIT,Duke University,4
Georgia Tech,University of Georgia,4
Purdue University,"University of Texas, Dallas",4
"University of Illinois, Urbana Champaign",Indiana University,4
Stanford University,Rice University,4
University of British Columbia,Simon Fraser University,4
Purdue University,Virginia Tech,4
"University of Maryland, College Park",George Mason University,4
MIT,California Institute of Technology,4
Georgia Tech,Oregon State University,4
"University of Maryland, College Park",Arizona State University,4
UC Berkeley,"University of Texas, Austin",4
Harvard University,Carnegie Mellon University,4
MIT,University of Toronto,4
University of Toronto,University of Saskatchewan,4
University of Pittsburgh,Carnegie Mellon University,4
UC Berkeley,"University of North Carolina, Chapel Hill",4
University of Toronto,University of Washington,4
Stanford University,University of Pennsylvania,4
UC Berkeley,"University of Illinois, Urbana Champaign",4
"University of Illinois, Urbana Champaign",North Carolina State University,4
University of Waterloo,University of Western Ontario,4
University of Utah,Brigham Young University,4
University of Western Ontario,Dalhousie University,4
University of Pennsylvania,Temple University,4
"University of Illinois, Urbana Champaign",Ohio State University,4
Cornell University,University of Waterloo,4
Stanford University,Indiana University,3
