institution,prestige_score,usnews_rank,region
Stanford University,2.23,1.0,West
UC Berkeley,2.31,1.0,West
MIT,3.52,1.0,Northeast
California Institute of Technology,5.24,11.0,West
Harvard University,6.12,17.0,Northeast
Cornell University,8.29,5.0,Northeast
Carnegie Mellon University,9.28,1.0,Northeast
Princeton University,9.32,8.0,Northeast
Yale University,9.98,20.0,Northeast
University of Washington,11.06,7.0,West
"University of Illinois, Urbana Champaign",13.43,5.0,Midwest
"University of Wisconsin, Madison",14.12,11.0,Midwest
University of Pennsylvania,15.31,17.0,Northeast
Rice University,16.44,20.0,South
UCLA,17.82,14.0,West
New York University,18.23,28.0,Northeast
University of Chicago,18.82,35.0,Midwest
"University of Texas, Austin",19.44,8.0,South
Brown University,21.92,20.0,Northeast
Columbia University,22.53,17.0,Northeast
University of Toronto,24.79,,Canada
University of Rochester,25.64,47.0,Northeast
University of Southern California,26.17,20.0,West
Johns Hopkins University,26.3,28.0,South
"University of Massachusetts, Amherst",26.95,20.0,Northeast
UC San Diego,27.93,14.0,West
"University of Maryland, College Park",28.65,14.0,South
University of Michigan,29.37,13.0,Midwest
"University of North Carolina, Chapel Hill",29.55,20.0,South
Duke University,30.5,27.0,South
"State University of New York, Stony Brook",36.01,44.0,Northeast
UC Irvine,37.36,28.0,West
Dartmouth College,37.9,44.0,Northeast
University of Virginia,38.11,28.0,South
Purdue University,38.27,20.0,Midwest
"University of Minnesota, Minneapolis",38.94,35.0,Midwest
Georgia Tech,39.69,10.0,South
Rutgers University,40.46,28.0,Northeast
University of Arizona,40.57,47.0,West
Pennsylvania State University,41.22,28.0,Northeast
Ohio State University,42.17,28.0,Midwest
Northwestern University,44.47,35.0,Midwest
"Washington University, St. Louis",46.4,39.0,Midwest
University of Pittsburgh,46.81,53.0,Northeast
Boston University,51.73,47.0,Northeast
University of British Columbia,51.75,,Canada
University of Oregon,54.86,63.0,West
Syracuse University,56.74,63.0,Northeast
UC Santa Barbara,56.76,35.0,West
University of Utah,59.1,39.0,West
UC Davis,61.39,39.0,West
Texas A&M,63.14,47.0,South
University of Houston,64.97,110.0,South
Michigan State University,66.24,58.0,Midwest
University of Waterloo,67.81,,Canada
"University of Colorado, Boulder",68.17,39.0,West
McGill University,69.84,,Canada
CUNY Graduate Center,70.04,79.0,Northeast
Case Western Reserve University,70.82,63.0,Midwest
UC Riverside,71.14,53.0,West
"University of Kansas, Lawrence",74.4,79.0,Midwest
Florida State University,74.98,79.0,South
College of William and Mary,75.2,79.0,South
Lehigh University,76.47,99.0,Northeast
University of Montreal,78.54,,Canada
Simon Fraser University,78.97,,Canada
"University of Illinois, Chicago",79.33,58.0,Midwest
University of Cincinnati,79.33,99.0,Midwest
UC Santa Cruz,79.49,53.0,West
Rensselaer Polytechnic Institute,79.68,47.0,Northeast
Southern Methodist University,80.22,110.0,South
University of Central Florida,81.51,91.0,South
University of New Mexico,81.65,79.0,West
North Carolina State University,81.9,47.0,South
"State University of New York, Buffalo",82.16,61.0,Northeast
Stevens Institute of Technology,82.4,99.0,Northeast
"Washington State University, Pullman",83.35,79.0,West
McMaster University,84.01,,Canada
Brandeis University,84.55,72.0,Northeast
University of Alberta,86.24,,Canada
George Washington University,87.19,79.0,South
Polytechnic Institute of NYU,87.42,72.0,Northeast
University of Iowa,87.49,63.0,Midwest
University of Delaware,87.66,72.0,South
Iowa State University,92.45,63.0,Midwest
Vanderbilt University,92.5,58.0,South
